frame,lat,lon,alt
2099,-0.00013072,0.00071480,2.000
2103,-0.00013444,0.00070341,2.000
2107,-0.00013817,0.00069203,2.000
2111,-0.00014189,0.00068065,2.000
2115,-0.00014561,0.00066926,2.000
2119,-0.00014934,0.00065788,2.000
2123,-0.00015121,0.00064620,2.000
2127,-0.00015132,0.00063422,2.000
2131,-0.00015142,0.00062224,2.000
2135,-0.00015152,0.00061027,2.000
2139,-0.00015152,0.00059829,2.000
2143,-0.00015149,0.00058631,2.000
2147,-0.00015147,0.00057433,2.000
2151,-0.00015144,0.00056235,2.000
2155,-0.00015140,0.00055038,2.000
2159,-0.00015137,0.00053840,2.000
2163,-0.00015134,0.00052642,2.000
2167,-0.00015130,0.00051444,2.000
2171,-0.00015127,0.00050247,2.000
2175,-0.00015124,0.00049049,2.000
2179,-0.00015120,0.00047851,2.000
2183,-0.00015117,0.00046653,2.000
2187,-0.00015114,0.00045456,2.000
2191,-0.00015110,0.00044258,2.000
2195,-0.00015107,0.00043060,2.000
