frame,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
910,0.000000,-0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
912,-6360.652344,41326.179688,-415.101685,0.000000,0.000000,0.000000,0.016224
913,-133.319489,0.650665,11.612969,0.000000,0.000000,0.000000,0.016224
914,0.000041,0.002500,9.810000,0.000000,0.000000,0.000000,0.016224
915,-0.000665,-0.002490,9.810040,0.000000,0.000000,0.000000,0.016224
916,0.000625,-0.000010,9.809922,0.000000,0.000000,0.000000,0.016224
917,-133.320038,0.655670,11.613008,0.000000,0.000000,0.000000,0.016224
918,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
919,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
920,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
921,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
922,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
923,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
924,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
925,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
926,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
927,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
928,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
929,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
930,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
931,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
932,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
933,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
934,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
935,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
936,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
937,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
938,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
939,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
940,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
941,133.320038,-0.655670,8.007071,0.000000,0.000000,0.000000,0.016224
942,-133.320038,0.655670,11.612930,0.000000,0.000000,0.000000,0.016224
943,133.320663,-0.655685,8.007031,0.000000,0.000000,0.000000,0.016224
944,-133.320663,0.655685,11.612969,0.000000,0.000000,0.000000,0.016224
945,133.319412,-0.655655,8.007031,0.000000,0.000000,0.000000,0.016224
946,-133.319336,0.660660,11.612969,0.000000,0.000000,0.000000,0.016224
947,133.319962,-0.660675,8.007031,0.000000,0.000000,0.000000,0.016224
948,-133.320038,0.655670,11.612969,0.000000,0.000000,0.000000,0.016224
949,133.319336,-0.660660,8.007031,0.000000,0.000000,0.000000,0.016224
950,-133.319336,0.660660,11.612969,0.000000,0.000000,0.000000,0.016224
951,133.333832,0.001694,9.810000,0.000000,0.000000,0.000000,0.016224
952,-133.333832,-0.001694,9.810000,0.000000,0.000000,0.000000,0.016224
953,133.285217,-3.607353,9.581915,0.000000,0.000000,0.000006,0.070628
954,-133.285217,3.607353,10.038086,0.000000,0.000000,0.000006,0.070628
955,133.284775,-3.604820,9.581954,0.000000,0.000000,0.000006,0.070628
956,-0.001423,-0.002406,9.809961,0.000000,0.000000,0.000006,0.070628
957,0.002047,0.002361,9.810040,0.000000,0.000000,0.000006,0.070628
958,-0.002047,-0.002361,9.810000,0.000000,0.000000,0.000006,0.070628
959,0.001694,-0.002626,9.809922,0.000000,0.000000,0.000006,0.070628
960,0.048044,3.610611,10.038125,0.000000,0.000000,0.000006,0.070628
961,0.149466,3.675049,9.792852,0.000000,0.000000,0.000000,0.125031
962,-0.001244,-0.004883,9.810000,0.000000,0.000000,0.000000,0.125031
963,0.001244,0.004883,9.809961,0.000000,0.000000,0.000000,0.125031
964,-0.000624,-0.004961,9.810040,0.000000,0.000000,0.000000,0.125031
965,-0.001240,0.000156,9.810000,0.000000,0.000000,0.000000,0.125031
966,0.001864,0.004805,9.809961,0.000000,0.000000,0.000000,0.125031
