frame,lat,lon,alt
194,0.00016387,-0.00092559,2.053
199,0.00017884,-0.00092542,2.031
203,0.00018184,-0.00092539,2.026
207,0.00018184,-0.00092539,2.026
211,0.00018184,-0.00092539,2.026
215,0.00018184,-0.00092539,2.026
219,0.00018184,-0.00092539,2.026
223,0.00018184,-0.00092539,2.026
227,0.00018783,-0.00092532,2.017
231,0.00019381,-0.00092525,2.008
235,0.00019980,-0.00092517,2.004
239,0.00020578,-0.00092491,2.003
243,0.00021775,-0.00092439,2.000
247,0.00022968,-0.00092329,2.000
251,0.00024159,-0.00092204,2.000
255,0.00025342,-0.00092018,2.000
259,0.00026519,-0.00091796,2.000
263,0.00027691,-0.00091552,2.000
267,0.00028850,-0.00091250,2.000
271,0.00030005,-0.00090932,2.000
275,0.00031142,-0.00090556,2.000
279,0.00032267,-0.00090145,2.000
283,0.00033384,-0.00089713,2.000
287,0.00034478,-0.00089226,2.000
291,0.00035559,-0.00088711,2.000
295,0.00036625,-0.00088163,2.000
299,0.00037669,-0.00087577,2.000
303,0.00038701,-0.00086970,2.000
307,0.00039701,-0.00086311,2.000
311,0.00040684,-0.00085627,2.000
315,0.00041645,-0.00084913,2.000
319,0.00042580,-0.00084164,2.000
323,0.00043498,-0.00083394,2.000
327,0.00044363,-0.00082566,2.000
331,0.00045199,-0.00081709,2.000
335,0.00045998,-0.00080816,2.000
339,0.00046742,-0.00079878,2.000
343,0.00047387,-0.00079036,2.000
347,0.00047847,-0.00078345,2.000
351,0.00048245,-0.00077748,2.000
355,0.00048554,-0.00077235,2.000
359,0.00048841,-0.00076730,2.000
363,0.00049116,-0.00076245,2.000
367,0.00049380,-0.00075759,2.000
371,0.00049615,-0.00075265,2.000
375,0.00049847,-0.00074776,2.000
379,0.00049962,-0.00074533,2.000
383,0.00049962,-0.00074533,2.000
387,0.00049962,-0.00074533,2.000
391,0.00049962,-0.00074533,2.000
395,0.00049962,-0.00074533,2.000
399,0.00049962,-0.00074533,2.000
403,0.00049962,-0.00074533,2.000
407,0.00049962,-0.00074533,2.000
411,0.00049962,-0.00074533,2.000
415,0.00049962,-0.00074533,2.000
