frame,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
194,0.000000,-0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
196,-6360.652344,41326.179688,-415.101685,0.000000,0.000000,0.000000,0.016224
197,-133.319489,0.650665,11.612969,0.000000,0.000000,0.000000,0.016224
198,0.000041,0.002500,9.810000,0.000000,0.000000,0.000000,0.016224
199,-0.000665,-0.002490,9.810040,0.000000,0.000000,0.000000,0.016224
200,0.000625,-0.000010,9.809922,0.000000,0.000000,0.000000,0.016224
201,-133.320038,0.655670,11.613008,0.000000,0.000000,0.000000,0.016224
202,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
203,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
204,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
205,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
206,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
207,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
208,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
209,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
210,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
211,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
212,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
213,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
214,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
215,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
216,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
217,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
218,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
219,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
220,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
221,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
222,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
223,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
224,0.000000,0.000000,9.810000,0.000000,0.000000,0.000000,0.016224
225,133.320038,-0.655670,8.007071,0.000000,0.000000,0.000000,0.016224
226,-133.320038,0.655670,11.612930,0.000000,0.000000,0.000000,0.016224
227,133.320663,-0.655685,8.007031,0.000000,0.000000,0.000000,0.016224
228,-133.320663,0.655685,11.612969,0.000000,0.000000,0.000000,0.016224
229,133.319412,-0.655655,8.007031,0.000000,0.000000,0.000000,0.016224
230,-133.319336,0.660660,11.612969,0.000000,0.000000,0.000000,0.016224
